"Key","SourceString","Comment"
"Crew_Assistant","Caswynn","Name of a male story character."
"Crew_Ryselle","Ryselle","Name of a female story character."
"Solomon","Solomon","Name of a male story character."
"Solomon_Nameless","Tabernero","Description of a male story character, before learning his name"
"OneArmedWoman_Nameless","Anciana","Description of a female story character, before learning her name."
"OneArmedWoman","Skelda","Name of a female story character."
"SturdyGuard_Nameless","Guardia fuerte","Name of a guard who is strong, slightly overweight and has compact physique."
"SturdyGuard","Thurl","Name of a guard who is strong, slightly overweight and has compact physique."
"SlenderGuard_Nameless","Guardia delgado","Name of a guard who is tall, lean, but not unhealthy."
"SlenderGuard","Allister","Name of a guard who is tall, lean, but not unhealthy."
"Hock","Hock","Name of a female story character. The name is short for Hollyhock; the character was brought up by druids, named after a plant, and then chose to shorten it to Hock rather than Holly because she's a tough fighter."
"Hock_Nameless","Cuervo Tatuado","Description of a female story character, before learning her name,"
"Karel","Karelinus","Name of a male story character."
"Karel_Nameless","Hombre de apariencia delicada","Description of a male story character, before learning his name"
"Scrap_Peddler","Chatarrero","Name of a male story character and vendor who deals in various things he finds."
"Marwin","Marwin","Name of a male story character."
"Marwin_Nameless","Guerrero corpulento","Description of a male story character, before learning his name"
"Huntress","Cazadora","Name of a female story character."
"Bennet_Maunder","Bennet","Name of a male story character."
"Bennet_Maunder_Nameless","Hombre barbudo","Description of a male story character, before learning his name"
"Sandric_Maunder","Sandric","Name of a male story character."
"Sandric_Maunder_Nameless","Chico hosco","Description of a male story character, before learning his name"
"Shev","Shev","Name of a female story character."
"Shev_Nameless","Mujer joven","Description of a female story character, before learning her name,"
"Camp_Woman","Mujer","Description of a female story character."
"Camp_Thief","Ladrón","Description of a MALE story character."
"Lawkin","Lawkin","Name of a male story character."
"Garrett","Garrett","Name of a male story character."
"Midge","Midge","Name of a female story character."
"Griswald","Griswald","Name of a male story character."
"Mae","Mae","Name of a female story character."
"Isolde","Isolde","Name of a female story character."
"Kark","Kark","Name of a male story character."
"Fortune_Teller","Adivino","Description of a female story character."
"SelfDefense_Applicant","Aspirante","Description of a male story character."
"Stacker","Stacker","Name of a male story character."
"Orrell","Orrell","Name of a male story character."
"Applicant_Thief","Ladrón","Description of a FEMALE story character."
"OuterGate_Guard","Guardia","Description of a male story character."
"Pushy_Sergeant","Sargento Glenn","Title/name of a female story character."
"Pushy_Sergeant_Nameless","Sargento Vigía","Description of a female story character, before learning her name,"
"Aldric","Aldric","Name of a male story character."
"Elmurd","Elmurd","Name of a male story character."
"Abelard","Abelard","Name of a male story character."
"Abelard_Nameless","Viajero","Description of a male story character, before learning his name"
"Ursus","Ursus","Name of a male story character."
"Ursus_Nameless","Porter","Description of a male story character, before learning his name"
"Orphanage_OrphanMother","Madre Wilke","Name of a female story character."
"Orphanage_OrphanMother_Nameless","Matron","Description of a female story character, before learning her name,"
"Steady_Stay_Owner","Nikau","Name of a male story character."
"Steady_Stay_Owner_Nameless","Posadero","Description of a male story character, before learning his name"
"Purdesch","Purdesch","Name of a male story character."
"Purdesch_Nameless","Curtidor","Description of a male story character, before learning his name"
"Nimrith","Nimrith","Name of a female story character."
"Nimrith_Nameless","Erudito cornudo","Description of a female story character, before learning her name,"
"Square_Orphan","Colwit","Name of a male story character."
"Square_Orphan_Nameless","Huérfano","Description of a male story character, before learning his name"
"Crew_Astrid","Astrid","Name of a female story character."
"Crew_Astrid_Nameless","Huérfana","Description of a female story character, before learning her name,"
"Beggar_Brennan","Mendigo extraño","Name of a male story character."
"Courier_Brennan","Brennan Disfrazado","Name of a male story character."
"Crew_Brennan","Brennan","Name of a male story character."
"Crew_Brennan_Nameless","Extraño encapuchado","Description of a male story character, before learning his name"
"Silas","Silas","Name of a male story character."
"Silas_Nameless","Cuervo","Description of a male story character, before learning his name"
"Carpenter","Oskaer","Name of a male story character."
"Carpenter_Nameless","Carpintero","Description of a male story character, before learning his name"
"Ironmonger","Quell","Name of a female story character."
"Ironmonger_Nameless","Ferretero","Description of a female story character, before learning her name,"
"Xaunesse","Xaunesse","Name of a female story character."
"Xaunesse_Nameless","Librera","Description of a female story character, before learning her name,"
"Tuvain","Tuvain","Name of a male story character."
"Tuvain_Nameless","Erudito Anciano","Description of a male story character, before learning his name"
"Gelthus","Gelthus","Name of a male story character."
"Yvor","Yvor","Name of a male story character."
"Lucas_Boriona","Lucas","Name of a male story character."
"Marwins_Letter","Carta de Marwin","Name of a letter."
"College_Letter","Carta","Name of a letter."
"Drunk_Ruffian","Rufián borracho","Name of a male story character."
"Supervisor","Supervisor","Name of a male story character."
"Scholar","Erudito","Name of a male story character."
"Mara","Mara","Name of a female story character."
"Kip","Kip","Name of a male story character."
"Tam","Tam","Name of a female story character."
"Elsa","Elsa","Name of a female story character."
"Harvo","Harvo Mano-Ágil","Name of a male story character."
"Square_Beggar","Mendigo","Name of a male story character."
"Square_Guard","Guardia","Name of a male story character."
"Scroll","Pergamino","A scroll in a commission."
"SuspiciousGuard","Guardia de la puerta","Name of a male story character."
"Veyera","Veyera","Name of a female story character."
"Charmer","Charmer","Name of a male story character."
"Marshal","Marshal","Name of a male story character."
"Artores","Artores","Name of a male story character (commission)."
"DrMarlowe","Dr. Marlowe","Name of a female story character (commission)."
"Dervan","Dervan","Name of a male story character (commission)."
"Hendy","Hendy","Name of a male story character (commission)."
"Risa","Risa","Name of a female story character (commission)."
"Willem","Willem","Name of a male story character (commission)."
"Cossetta_Faircliff","Cossetta Faircliff","Name of a female story character (commission)."
"Lord_Faircliff","Lord Faircliff","Name of a male story character (commission)."
"Finneke","Finneke","Name of a male story character (commission)."
"Thana","Thana","Name of a female story character (commission)."
"HoodedMan","Hombre encapuchado","Name of a male story character (commission)."
"MaskedWoman","Mujer enmascarada","Name of a female story character (commission)."
"Tobias","Tobias","Name of a male story character (commission)."
"Iago","Iago","Name of a male story character (commission)."
"Amerth","Amerth","Name of a female story character (commission)."
"Tallifer","Tallifer","Name of a female story character (commission)."
"Roland","Roland","Name of a male story character (commission)."
"Senna","Senna","Name of a female story character (commission)."
"Retheus","Retheus","Name of a male story character (commission)."
"Neal","Neal","Name of a male story character (commission)."
"Tessara","Tessara","Name of a female story character (commission)."
"Walther","Walther","Name of a male story character (commission)."
"Thaddeus","Thaddeus","Name of a male story character (commission)."
"Citadel_Knight","Caballero de la ciudadela","Description of a male story character"
"Merchant_Guard","Guardia mercante","Description of a male story character"
"OrdinaryGuard","Guardia","Description of a male story character"
"Cheska","Cheska","Name of a female story character (commission)."
"Mysterious_Figure","Figura misteriosa","Name of a male story character."
"Pight","Puesto","Name of a male story character."
"Applicant","Aspirante","Name of a female story character."
"Chlodo","Chlodo","Name of the player's dog, male."
