"Key","SourceString","Comment"
"game_newgame","Nueva Partida","Button to start a new game."
"game_savegame","Guardar Partida","Button to save the current game."
"game_loadgame","Cargar Partida","Button to load a game that was previously saved."
"game_loadgame_confirmation","El progreso que no hayas guardado se perderá.","A warning displayed to the player that they will lose unsaved progress on loading."
"game_lastsaved","Último guardado {0}","A hint displayed to the player, stating the time of their last savegame."
"game_newsave","Nuevo guardado","Button to create a new save game."
"game_deletesave","Borrar guardado","Button to delete a saved game."
"game_quicksave","Guardado rápido","Button to quickly save the game."
"game_quickload","Cargado rápido","Button to quickly load the game."
"saveslot_quicksave","Guardado rápido","Title of the 'quicksave' savegame, saved by the player with e.g. a hotkey."
"saveslot_autosave","Autoguardado","Title of the 'autosave' savegame, saved automatically by the game."
"game_continue","Continuar","Button to continue the current game."
"game_storymode","Modo Historia","Button to start the game's story mode."
"game_creativemode","Modo Creativo","Button to start the game's creative mode."
"game_credits","Créditos","Button to show the game's credits."
"game_quit","Salir","Button to quit the entire game."
"game_level","Nivel","Generic term for the player's level, as typically seen in role-playing games."
"game_level_format","Nivel {0}","Generic display of the player's level, as typically seen in role-playing games. The current level (1, 2, 3 .. 39, 40) is inserted for {0}."
"game_rank_format","Rango {0}","Generic display of the player's rank within a given faction, as typically seen in role-playing games. The current rank (0, 1, 2 .. 9) is inserted for {0}."
"game_day_format","Día {0}","Generic display of the in-game day. The current day (1, 2, 3 .. 500, 501 ...) is inserted for {0}."
"game_days_remaining_format","{0} {0}|plural(one=día, other=días) restantes","Generic display of a number of remaining days before an effect or an ongoing event runs out."
"game_days_duration_format","{0} {0}|plural(one=día, other=días)","Generic display of a number of days, e.g. to display a duration for an effect."
"game_playtime","Tiempo de juego:","Generic display of the total real-world time the player has played on a given savegame."
"game_experiencepoints","EXP","Generic term (short!) for the player's experience points, as typically seen in role-playing games."
"game_wealth","Riqueza","Generic term for the players wealth, i.e. how much money is available."
"game_reputation","Reputación","Generic term for the player's reputation with a faction."
"game_reputation_format","{0} Reputación","Reputation displayed with a number."
"game_reputation_threshold_format","{0}/{1} Reputación","Reputation displayed with a current number {0} and a threshold/goal to reach {1}."
"game_actionpoints","Puntos de Acción","General term for Action Points the player can spend on doing certain actions."
"game_currency","Dinero","General term for the owned money."
"game_thalers","Thalers","In-game term for the currency."
"game_dailyupkeep","Mantenimiento diario","General term for the amount of currency the player has to pay per day."
"game_valuedisplay","{0}: {1}","General display of values, e.g. ""XP: 400"" or ""Finesse: 3"""
"game_contextdisplay","{0} – {1}","General display of two things in context, e.g. ""Day 5 – Morning"" or ""Some Faction – Rank 2"""
"pausemenu_continue","Continuar","Button in pause menu to continue playing the game."
"pausemenu_tutorial","Mostrar Tutorial","Button in pause menu to show the tutorial."
"pausemenu_options","Opciones","Button in pause menu to show the options."
"pausemenu_exit","Salir al menú principal","Button in pause menu to exit to main menu."
"pausemenu_quit","Salir del juego","Button in pause menu to quit the game."
"credits_thankyou","Traducción: AkaMomo","Thank the player for supporting the game at the end of the credits."
"generic_okay","Vale","Generic button caption to confirm"
"generic_yes","Sí","Generic button caption to confirm"
"generic_no","No","Generic button caption to decline"
"generic_back","Atrás","Generic button caption to go back"
"generic_goback","Volver","Generic button caption to go back"
"generic_cancel","Cancelar","Generic button caption to cancel/decline an action"
"generic_later","Luego","Generic button caption to defer a decision"
"generic_thankyou","¡Gracias!","Generic thanks, e.g. when the player has filled out feedback forms, subscribed to the newsletter etc."
"compatibility_skilltreechanged","El árbol de habilidades ha cambiado desde la última vez que jugaste. Se han devuelto tus puntos de habilidad.","Displayed to the player when loading an older savegame."
"feedbacksurvey_title","¡Nos gustaría saber que piensas!","Text for inviting players to give us feedback on the game."
"feedbacksurvey_button","Abrir la encuesta","Button to open the external feedback form."
"creativemode_button_forgeblade","+ Forjar Espada","Button to start forging a new blade in Creative Mode."
"creativemode_timedbutton_delete","Mantén para borrar","Button to delete a sword in Creative Mode. The players needs to hold this button for some time before the sword is deleted."
"creativemode_magicwords_paste","Pega las Palabras Mágicas,"Note to player to paste a share code (called magic words in the game) in Creative Mode."
"creativemode_magicwords_description",Compartir una espada desde dentro del juego genera <asc>Palabras Mágicas</>.
¡Cópialas aquí para generar una copia exacta de la espada!","A hint displayed to the player explaining how sharing works. Please keep the <asc></> formatting tag intact."
"creativemode_button_conjure","Conjurar","Button to open the sword in Creative Mode based on the pasted magic words."
"campaignmode_welcome_title","Bienvenido a BLADESONG","Welcome message when starting management mode."
"campaignmode_welcome_button_start","Empezar a jugar","Button in the Story Mode's welcome message to start playing now."
"campaignmode_text_newday","Amanece un nuevo día","Information that a new day in Story Mode is beginning."
"campaignmode_title_commissions","Encargos","Title of the commission section in Story Mode, where players see the current customer orders."
"campaignmode_title_events","Eventos","Title of the section in Story Mode where notable current events are listed, e.g. an orphan begging in front of the shop."
"campaignmode_title_workshop","Taller","Title of the workshop section in Story Mode, where players find their in-progress blades."
"campaignmode_title_factions","Facciones","Title of a window in Story Mode displaying encountered factions, i.e. in-universe groups the player can gather reputation with."
"campaignmode_title_journal","Diario","Title of the player's journal, tracking quest progress."
"campaignmode_title_quests","Misiones","Title of a list of the player's quests/activities."
"campaignmode_title_quests_active","Activo",""
"campaignmode_title_quests_onhold","En Espera",""
"campaignmode_title_quests_finished","Acabado",""
"campaignmode_title_finishedpieces","Piezas Acabadas","Title of the piece inventory in Story Mode, showing the finished pieces (i.e. swords) the player has made."
"campaignmode_title_hired","Personajes Contratados","Title of the hired characters section in Story Mode, where players see the characters they have already hired to work in the forge."
"campaignmode_title_vendors","Comerciantes","Title of the vendors section in Story Mode, where swordpart vendors are available."
"campaignmode_title_swordparts","Partes","Title of the sword parts/inventory section in Story Mode, where owned sword parts are shown in the player inventory."
"campaignmode_button_learn","Aprender nuevas Partes","Button inside swordpart/inventory window in Story Mode, to learn new swordpart ""blueprints."""
"campaignmode_title_learnandimprove","Aprender y Mejorar","Title of the skill tree window in campaign mode, where access to skill tree and earned skill points are shown."
"campaignmode_vendor_visit","Visitar","Text on button to visit the vendor and trade."
"campaignmode_openskilltree","Árbol de Habilidades","Text on button to open the skill tree."
"campaignmode_display_day","Día","Title of the display that shows the current day in Story Mode."
"campaignmode_display_actionpointshint","Puntos de Acción:","Value to show the player's remaining action points."
"campaignmode_endtheday","Terminar día","Text of button where player choose to end the current day / close the shop for the day."
"campaignmode_timedevent_lastday","Último día","Display the number of days left on a timed event (e.g. a commission). This string is only used in case this is the last day before the event runs out."
"campaignmode_wealth_tooltip","Mantenimiento diario:","Value to show the amount the player has to pay each day for their forge."
"campaignmode_pieceinventory_button_sale","En venta","Hint text denoting that a sword is currently up for sale."
"campaignmode_pieceinventory_button_disassemble","Desensamblar","Caption of the disassemble button, to break a blade down into its components and discard it."
"gameplayrating_currentvalue","Actual: {0}","The current numeric value of a sword rating (inserted for {0}), displayed next to potential requirements."
"gameplayrating_requiredrange","Requerido: entre {0} y {1}","The numerical requirements for a sword rating, between two values inserted for {0} and {1} respectively."
"gameplayrating_requiredmin","Requerido: al menos {0}","The numerical requirement floor for a sword rating, inserted for {0}, in cases where there is no maximum bound."
"gameplayrating_requiredmax","Requerido: menos de {0}","The numerical requirement ceiling for a sword rating, inserted for {0}, in cases where there is no minimum requirement."
"gameplayrating_required","Requerido","Displayed in a stat's tooltip to denote that the customer requires this."
"gameplayrating_norequirement","No requerido","Displayed in a stat's tooltip to denote that the customer does not requires this."
"stylerating_required","{0} requerido","The numerical requirements for a particular sword style, inserted for {0}."
"stylerating_stylehint","Compra piezas adecuadas a los comerciantes.","Hint displayed to the player when hovering any other style requirement."
"gameplayrating_bladelength_title","Longitud de la hoja","Title of the gameplay-rating."
"gameplayrating_bladelength_description","La longitud total de la hoja, medida desde la base hasta la punta.","Text inside tooltip, explaining the physical value of the blade length."
"gameplayrating_hiltlength_title","Longitud de la empuñadura","Title of the gameplay-rating."
"gameplayrating_hiltlength_description","La longitud de la empuñadura que puede usarse para el manejo.","Text inside tooltip, explaining the physical value of the hilt length."
"gameplayrating_weight_title","Peso","Title of the gameplay-rating."
"gameplayrating_weight_description","El peso total de la espada. Una espada ligera es más rápida y menos fatigante, pero una espada más pesada tendrá un impacto más poderoso.","Text inside tooltip, explaining the physical value of the weight."
"gameplayrating_balance_title","Equilibrio","Title of the gameplay-rating."
"gameplayrating_balance_description","El centro de equilibrio es una propiedad importante. Contrólalo modificando el peso de la empuñadura y de la hoja.","Text inside tooltip, explaining the physical value of the balance."
"gameplayrating_blademass_title","Masa de la hoja","Title of the gameplay-rating."
"gameplayrating_blademass_description","Cuánto peso hay detrás de un impacto. Contrólalo moviendo el centro de equilibrio o modificando la distribución de la masa. La masa cerca del centro de equilibrio se comportará de forma diferente que la masa en la punta o en el pomo.","Text inside tooltip, explaining the physical value of the blade mass and mass distribution."
"gameplayrating_cutthrough_title","Capacidad de corte","Title of the gameplay-rating."
"gameplayrating_cutthrough_description","Una hoja plana y ancha con un filo afilado será ideal para cortar. Usa los colores en la vista de la sección transversal a tu favor.","Text inside tooltip, explaining the physical value of slashing and how to sharpen the edge."
"gameplayrating_piercing_title","Perforación","Title of the gameplay-rating."
"gameplayrating_piercing_description","Una punta aguda en una hoja estrecha o ahusada hará que tu espada sea ideal para estocar.","Text inside tooltip, explaining the physical value of piercing and how to apply abilities that are ideal for thrusting."
"skills_tier1","I","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands I"". Feel free to change if roman numerals don't work with the target language."
"skills_tier2","II","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands II"". Feel free to change if roman numerals don't work with the target language."
"skills_tier3","III","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands III"". Feel free to change if roman numerals don't work with the target language."
"skills_tier4","IV","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands IV"". Feel free to change if roman numerals don't work with the target language."
"skills_tier5","V","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands V"". Feel free to change if roman numerals don't work with the target language."
"skills_tier6","VI","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands VI"". Feel free to change if roman numerals don't work with the target language."
"skills_tier7","VII","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands VII"". Feel free to change if roman numerals don't work with the target language."
"skills_tier8","VIII","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands VIII"". Feel free to change if roman numerals don't work with the target language."
"skills_tier9","IX","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands IX"". Feel free to change if roman numerals don't work with the target language."
"skills_tier10","X","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands X"". Feel free to change if roman numerals don't work with the target language."
"skills_taper_title","La Hoja","Title of the tapering skill window in management mode skill tree, referring the blade of the sword."
"skills_taper_text","El equilibrio de la hoja cobra vida a través de su ahusamiento. El ahusamiento se utiliza para definir las características de manejo de la hoja y optimizar la distribución del peso.","Text inside the tapering skill window in management mode skill tree, describing what the skill is about."
"skills_taper_profile","Desbloquea <ability>Ahusamiento de perfil</> para hacer que las hojas se estrechen en anchura.","Text inside the tapering skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_taper_distal","Desbloquea <ability>Ahusamiento distal</> para hacer que las hojas se afinen en grosor.","Text inside the tapering skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_crosssection_title","El Filo","Title of the tapering skill window in management mode skill tree, referring the edge of a blade."
"skills_crosssection_text","La sección transversal es una pieza crucial del rompecabezas en la fabricación de hojas. Influye en gran medida en el uso previsto de la hoja y en su capacidad para cortar y perforar.","Text inside the cross-section skill window in management mode skill tree, describing what the skill is about."
"skills_crosssection_advanced","Desbloquea controles avanzados de sección transversal.","Text inside the cross-section skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_crafting_title","Elaboración","Title of the crafting skill window in management mode skill tree, referring the hilt section of a sword."
"skills_crafting_text","En los tiempos antiguos, artesanos especializados se encargaban de cada etapa de la creación de una hoja — un lujo que no tienes en la Fortaleza de Eren. Aquí fabricas tus propias piezas de empuñadura, algo tan importante como dar forma a la hoja misma.","Text inside the crafting skill window in management mode skill tree, describing what the skill is about."
"skills_crafting_unlock","Desbloquea la habilidad: Elaboración","Text inside the crafting skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_preroot_title","La Transformación","Title of a UI element on the way to the next skill point, referring to the players journey to become a better swordsmith."
"skills_treeroot_title","La Espada","Title of the main branching skill window in management mode skill tree."
"skills_treeroot_text","Ahora eres digno de llamarte herrero de espadas. Mejora tus habilidades para producir hojas aún más complejas y haz prosperar tu forja.","Text inside the main branching skill window in management mode skill tree, complimenting the player for come this far and going further to become an even better swordsmith. "
"skills_bettersalvaging","Maestría en Recuperación","Title of a skill that improves the ability to salvage resources from miscellaneous/scrap items."
"skills_bettersalvaging_unlock","El rendimiento de recuperación aumenta en un {Mul}%.","Description of a skill that improves the ability to salvage resources from miscellaneous/scrap items."
"skills_treeroot_unlock_leather","Desbloquea varios tipos de cuero para la elaboración.","Description of unlocks the player gains by learning the main branching skill."
"skills_unlock_increase_upkeep","Aumenta tu mantenimiento diario en {Add}.","Description of fixed malus the player receives by learning the main branching skill. Daily upkeep is the cost the player has to pay each day for maintaining the forge."
"skills_unlock_decrease_upkeep","Reduce tu mantenimiento diario en {Add}.","Skill effect: the amount to be paid per day for the forge's upkeep is reduced by fixed value X."
"skills_unlock_decreaserel_upkeep","Reduce tu mantenimiento diario en {Mul}%.","Skill effect: the amount to be paid per day for the forge's upkeep is reduced by X percent."
"skills_unlock_increase_ap","Aumenta tus <AP/> en {Add}.","Skill effect: the player gets X (fixed number) more action points per in-game day."
"skills_unlock_increase_ap_repeat","Aumenta tus <AP/> en {Add} más.","Skill effect: the player gets X (fixed number) more action points per in-game day, from a skill behind the first."
"skills_swordmaking_title","Forja de Espadas","Title of the node in the skill tree which groups all swordmaking skills."
"skills_swordmaking_text","Aprende a usar más habilidades y haz que tus técnicas de forja sean más eficientes.","Description of the node in the skill tree which groups all swordmaking skills."
"skills_shopkeeping_title","Comercio","Title of the node in the skill tree which groups all shopkeeping skills."
"skills_shopkeeping_text","Aprende habilidades útiles que te ayudarán a gestionar tu tienda y obtener ventajas.","Description of the node in the skill tree which groups all shopkeeping skills."
"skills_strength_title","Manos Fuertes","Title of the strong hands skill window in management mode skill tree, referring to the players hands as a swordsmith getting stronger over time from working in the forge."
"skills_strength_text","El balanceo del martillo ha fortalecido tu agarre. Con más fuerza en tus manos, puedes trabajar más durante el día.","Text inside the strong hands skill window in management mode skill tree, describing what the skill is about."
"skills_vendordiscount_title","Regateador Habilidoso","Title of the negotiation skill window in management mode skill tree, referring to the players negotiating skills and how these affect the discounts the player gets at vendors, buying sword parts."
"skills_vendordiscount_text","Aprendes a evaluar mejor a la gente de la Fortaleza de Eren y puedes usar esto a tu favor en las negociaciones.","Text inside the negotiation skill window in management mode skill tree, describing what the skill is about."
"skills_vendordiscount_increase1_text","Consigues un descuento del {Mul}% de los comerciantes.","Text inside the negotiation skill window in management mode skill tree, showing the player the exact advantage that will be unlocked by learning this skill."
"skills_vendordiscount_increase2_text","Aumenta el descuento en {Mul}%.","Text inside the negotiation skill window in management mode skill tree, showing the player the exact advantage that will be unlocked by learning this skill."
"skills_commissiontime_title","Cliente Paciente","Title of the patient client skill window in management mode skill tree, describing the earned trust and patience from customers, so the player gets the chance to have more time for each commission."
"skills_commissiontime_text","Lo bueno se hace esperar. Tus clientes también lo saben y están dispuestos a darte un poco más de tiempo para terminar tu trabajo.","Text inside the patient client skill window in management mode skill tree, describing what the skill is about."
